City Key,City,State Province,Sales Territory
1,Carrollton,New York,Mideast
2,Carrollton,Virginia,Southeast
3,Carrollton,Illinois,Great Lakes
4,Carrollton,Missouri,Plains
5,Carrollton,Ohio,Great Lakes
6,Carrollton,Kentucky,Southeast
7,Carrollton,Georgia,Southeast
8,Carrollton,Alabama,Southeast
9,Carrollton,Mississippi,Southeast
10,Carrollton,Texas,Southwest
11,Carrollton Manor,Maryland,Mideast
12,Carrolltown,Pennsylvania,Mideast
13,Carrothers,Ohio,Great Lakes
14,Carrsville,Virginia,Southeast
15,Carrsville,Kentucky,Southeast
16,Carsins,Maryland,Mideast
17,Carson,New Mexico,Southwest
18,Carson,California,Far West
19,Carson,Washington,Far West
20,Carson,North Dakota,Plains
21,Carson,Iowa,Plains
22,Carson City,Nevada,Far West
23,Carson City,Michigan,Great Lakes
24,Carsonville,Michigan,Great Lakes
25,Carsonville,Georgia,Southeast
26,Carta Valley,Texas,Southwest
27,Cartago,California,Far West
28,Carter,Wyoming,Rocky Mountain
29,Carter,Montana,Rocky Mountain
30,Carter,Tennessee,Southeast
31,Carter,Wisconsin,Great Lakes
32,Carter,Mississippi,Southeast
33,Carter,South Dakota,Plains
34,Carter,Kentucky,Southeast
35,El Cenizo,Texas,Southwest
36,El Centro,California,Far West
37,El Cerrito,California,Far West
38,El Cerro,New Mexico,Southwest
39,El Combate,Puerto Rico (US Territory),External
40,El Dara,Illinois,Great Lakes
41,El Dorado,Arkansas,Southeast
42,El Dorado,Kansas,Plains
43,El Dorado Hills,California,Far West
44,El Dorado Springs,Missouri,Plains
45,El Duende,New Mexico,Southwest
46,El Granada,California,Far West
47,El Indio,Texas,Southwest
48,El Jebel,Colorado,Rocky Mountain
49,El Lago,Texas,Southwest
50,El Mangó,Puerto Rico (US Territory),External
51,El Mirage,Arizona,Southwest
52,El Monte,California,Far West
53,El Moro,Colorado,Rocky Mountain
54,El Negro,Puerto Rico (US Territory),External
55,El Nido,California,Far West
56,El Ojo,Puerto Rico (US Territory),External
57,El Paraiso,Puerto Rico (US Territory),External
58,El Paso,Texas,Southwest
59,El Paso,Wisconsin,Great Lakes
60,El Paso,Illinois,Great Lakes
61,El Paso,Arkansas,Southeast
62,El Paso de Robles,California,Far West
63,El Portal,California,Far West
64,El Portal,Florida,Southeast
65,El Porvenir,New Mexico,Southwest
66,El Prado,New Mexico,Southwest
67,El Rancho,Colorado,Rocky Mountain
68,Austerlitz,New York,Mideast
69,Brown Deer,Wisconsin,Great Lakes
70,Crofton,Maryland,Mideast
71,Carter,Oklahoma,Southwest
72,El Rancho,New Mexico,Southwest
73,El Refugio,Texas,Southwest
74,El Reno,Oklahoma,Southwest
75,El Rio,California,Far West
76,El Rito,New Mexico,Southwest
77,El Sauz,Texas,Southwest
78,El Segundo,California,Far West
